county,code,population,poverty,sd
Jendouba Nord,2252,40779,19.6,0.0137
Bou Salem,2253,35501,16.6,0.0123
Tabarka,2254,48993,16.7,0.0109
Ain Draham,2255,35400,27.2,0.014
Fernana,2256,47690,36.9,0.0142
Ghardimaou,2257,64170,24.8,0.0129
Oued Meliz,2258,17843,21,0.021
Balta - Bou Aouane,2259,38764,23.1,0.0152
Kef Ouest,2351,33418,21.9,0.017
Kef Est,2352,40288,24.6,0.0145
Nebeur,2353,25897,45.4,0.0237
Sakiet Sidi Youssef,2354,17500,39.7,0.0242
Tajerouine,2355,27592,37.7,0.0214
Kalâat Snan,2356,15621,32.8,0.0242
Kalâat Khasbah,2357,6652,35.3,0.0382
Djerissa,2358,9807,31.9,0.0253
El Ksour,2359,15215,37.1,0.0262
Dahmani,2360,27907,38.4,0.0212
Es-Sers,2361,23259,34.4,0.0205
Seliana Nord,2451,28907,16.8,0.014
Seliana Sud,2452,30233,19.9,0.0148
Bou Arada,2453,20444,21.8,0.0183
Gaâfour,2454,16934,24.4,0.0209
ElKrib,2455,20155,20,0.0157
Bourouis,2456,12618,21.8,0.0263
Makthar,2457,29052,26.5,0.0179
Er-Rouhia,2458,25951,40.7,0.0218
Kesra,2459,16404,32.2,0.0255
Bargou,2460,12482,24.4,0.0226
El AROUSSA,2461,9907,25.2,0.0267
Sousse Medina,3151,35288,5.5,0.0098
Sousse Riadh,3152,64532,10.7,0.0114
Sousse Jawhara,3153,86517,7,0.0075
Sousse Sidi Abdelhamid,3154,52787,17.7,0.015
Hammam Sousse,3155,42691,8.5,0.01
Akouda,3156,34494,9.3,0.0107
Kalaâ Kebira,3157,59132,16.2,0.0136
Sidi Bou Ali,3158,19543,16.5,0.0195
Hergla,3159,9343,16.3,0.0279
Enfidha,3160,49335,23.8,0.0205
Bouficha,3161,26760,21.9,0.0204
Kondar,3162,13565,28.7,0.0334
Sidi El Heni,3163,13505,27.9,0.0309
M'saken,3164,97225,14.1,0.0098
Kalaâ Seghira,3165,37797,15.1,0.0138
Zaouia Ksiba Thrayet,3166,32304,17.3,0.0179
Monastir,3251,104535,4.6,0.0045
Ouerdianine,3252,21814,8.7,0.0134
Sahline,3253,27449,6.7,0.0098
Zermadine,3254,29733,13.1,0.0162
Beni Hassen,3255,13869,10.6,0.0187
Jammel,3256,65420,7.4,0.0084
Bembla,3257,32555,6.4,0.0083
Moknine,3258,89277,12.1,0.0092
Bekalta,3259,17850,8.3,0.0134
Teboulba,3260,37485,6.7,0.0106
Ksar Helal,3261,49376,6.8,0.008
Ksibet El Mediouni,3262,34576,5.8,0.0081
Sayada-Lamta Bou-Hjar,3263,24889,4.7,0.0074
Mahdia,3351,79545,13.3,0.0112
Bou Merdes,3352,33890,30.1,0.0188
Ouled Chamekh,3353,23020,35,0.024
Chorbane,3354,25935,36.9,0.0229
Hebira,3355,10654,33.4,0.0313
Essouassi,3356,50424,29.2,0.02
El Djem,3357,48611,26.5,0.0189
Chebba,3358,24515,15.5,0.0181
Melloulech,3359,22085,30.9,0.0251
Sidi Alouane,3360,37767,28.9,0.0197
Ksour Essef,3361,54366,22.2,0.0176
Sfax Ville,3451,101176,2.5,0.0036
Sfax Ouest,3452,110125,3,0.0037
Sakiet Ezzit,3453,87512,3.2,0.0048
Sakiet Eddaïer,3454,113776,3.2,0.0043
Sfax Sud,3455,119139,3,0.0032
Tina,3456,62997,6.2,0.0065
Agareb,3457,40943,10.7,0.0109
Djebeniana,3458,49678,8.7,0.0095
El Amra,3459,30599,6.8,0.0113
El Hencha,3460,49223,11.8,0.0112
Menzel Chaker,3461,37368,12.2,0.0129
Ghraiba,3462,15776,14.5,0.0237
Bir ali Ben Kelifa,3463,52678,17.4,0.0179
Skhira,3464,34673,12.4,0.0146
Mahres,3465,34257,8.9,0.0119
Kerkenah,3466,15501,4.6,0.0126
Kairouan Nord,4151,96781,20.8,0.0131
Kairouan Sud,4152,93101,23,0.0123
Echebika,4153,35308,24.2,0.0169
Sbikha,4154,71922,35.1,0.0146
EL Ouslatia,4155,34452,40.9,0.0202
Haffouz,4156,40066,31.4,0.0176
El Alâa,4157,28991,38.3,0.0219
Hajeb el Ayoun,4158,36137,36.6,0.0177
Nasrallah,4159,33789,35.1,0.0196
Echrarda,4160,27518,28,0.0177
Bouhajla,4161,72371,32.7,0.0124
Kasserine Nord,4251,65322,18.9,0.0099
Kasserine Sud,4252,21653,34,0.0233
Ezzouhour,4253,21819,27.8,0.0225
Hassi Ferid,4254,19400,53.5,0.0317
Sbeitla,4255,75245,33,0.0149
Sbiba,4256,41189,37.1,0.0201
Djedeliane,4257,12297,53.1,0.0339
El Ayoun,4258,19211,50.1,0.0306
Thala,4259,37128,30.9,0.0169
Hidra,4260,9762,39.8,0.0298
Foussana,4261,41447,31.5,0.0195
Feriana,4262,51455,36.9,0.0183
Majel Bel Abbes,4263,23315,41.4,0.0299
Sidi Bouzid Ouest,4351,73226,17.7,0.0108
Sidi Bouzid Est,4352,49450,21.8,0.0138
Jilma,4353,40239,31.4,0.0192
Cebalet Ouled Asker,4354,20382,31.2,0.0206
Bir El Hafey,4355,38288,27.4,0.0158
Sidi Ali Ben Aoun,4356,28214,31,0.0204
Menzel Bouzaïenne,4357,25321,39,0.0227
Meknassy,4358,23789,23.3,0.02
Souk Jedid,4359,21660,20.8,0.0217
Mezzouna,4360,24766,34.3,0.0261
Regueb,4361,64998,23.7,0.0128
Ouled Haffouz,4362,19579,21.3,0.0225
Gabes Medina,5151,46731,11.1,0.0105
Gabes Ouest,5152,31768,15,0.0135
Gabes Sud,5153,74422,9.4,0.0067
Ghanouch,5154,28051,20,0.0177
El Metouia,5155,27878,17.9,0.0163
Menzel El Habib,5156,10148,33.6,0.0322
El Hamma,5157,73512,20.3,0.0119
Matmata,5158,4444,26.4,0.0461
Nouvelle Matmata,5159,14224,23.6,0.0231
Mareth,5160,63122,21.2,0.0111
Medenine Nord,5251,54769,18.9,0.0112
Medenine Sud,5252,54640,20.7,0.0168
Beni Khedech,5253,25885,36.9,0.0276
Ben Guerdane,5254,79912,23.1,0.0142
Zarzis,5255,75382,15.8,0.0104
Djerba Houmet Souk,5256,75904,9.5,0.0088
Djerba Midoun,5257,63528,11.5,0.0096
Djerba Ajim,5258,24294,16.7,0.0153
Sidi Makhlouf,5259,25206,33.4,0.0267
Tataouine Nord,5351,61431,18.4,0.0109
Tataouine Sud,5352,34344,17.1,0.0145
Smâr,5353,14793,14.4,0.0259
Bir Lahmar,5354,8460,18.4,0.0237
Ghomrassen,5355,15957,10.5,0.0143
Dhehiba,5356,4295,33.3,0.0515
Remada,5357,10173,27.4,0.034
Gafsa Nord,6151,10022,23,0.0324
Sidi Aïch,6152,10084,16.1,0.0239
El Ksar,6153,36482,16.9,0.0129
Gafsa Sud,6154,101148,15.4,0.0085
Oum El Araies,6155,27012,20.5,0.0167
Redeyef,6156,26976,21.1,0.0177
Metlaoui,6157,38634,16.2,0.0131
Mdhila,6158,15306,18.7,0.0215
EL Guetar,6159,20137,19.8,0.0177
Belkhir,6160,14784,31.2,0.0276
Sned,6161,36746,27.2,0.0168
Tozeur,6251,46422,10.3,0.0102
Degach,6252,28543,17.4,0.0147
Tameghza,6253,6516,20.5,0.0337
Nefta,6254,21731,17.3,0.0181
Hazoua,6255,4700,22.6,0.0431
Kebili Sud,6351,30447,15.8,0.0149
Kebeli Nord,6352,31854,12.3,0.012
Souk El Ahed,6353,27865,21.7,0.0181
Douz Nord,6354,28617,20.4,0.0186
Douz Sud,6355,18565,25.9,0.0248
Faouar,6356,19613,25.2,0.0243
